Repetition,Sample size,Reliability,metric,kind,category,type
3,1.0,0.094241773962804,MSE,1.0,all,data
3,1.0,0.08045977011494253,MSE,0.0,all,data
3,1.0,0.11025641025641025,MSE,3.0,all,data
3,1.0,0.12380952380952381,MSE,7.0,all,data
3,1.0,0.12314814814814815,MSE,4.0,all,data
3,1.0,0.12280701754385964,MSE,6.0,all,data
3,1.0,-0.02858571111642827,r2,all,all,data
3,1.0,-0.6243837365545819,r2,shuffled,all,data
3,1.0,0.05830740812755175,r2,2.0,all,data
3,1.0,-0.11278195488721754,r2,5.0,all,data
3,1.0,-0.009536862189395423,r2,1.0,all,data
3,1.0,-0.16387959866220725,r2,0.0,all,data
3,1.0,-0.047833240252977305,r2,3.0,all,data
3,1.0,0.14745541539799922,r2,7.0,all,data
3,1.0,-0.1957267146433559,r2,4.0,all,data
3,1.0,-0.04611639121681699,r2,6.0,all,data
4,1.0,0.506326619545566,correlation,all,all,data
4,1.0,0.14558563431674726,correlation,shuffled,all,data
4,1.0,0.502476453570908,correlation,2.0,all,data
4,1.0,0.49985221985294304,correlation,5.0,all,data
4,1.0,0.5019345199599825,correlation,1.0,all,data
4,1.0,0.21376739376321247,correlation,0.0,all,data
4,1.0,0.5079771744526986,correlation,3.0,all,data
4,1.0,0.7053083673458923,correlation,7.0,all,data
4,1.0,0.43363851413776805,correlation,4.0,all,data
4,1.0,0.5456593311384509,correlation,6.0,all,data
4,1.0,0.09386548410938655,MSE,all,all,data
4,1.0,0.16546563192904656,MSE,shuffled,all,data
4,1.0,0.08174603174603175,MSE,2.0,all,data
4,1.0,0.09797297297297297,MSE,5.0,all,data
4,1.0,0.09245350500715308,MSE,1.0,all,data
4,1.0,0.09770114942528736,MSE,0.0,all,data
4,1.0,0.09102564102564102,MSE,3.0,all,data
4,1.0,0.09047619047619047,MSE,7.0,all,data
4,1.0,0.11203703703703703,MSE,4.0,all,data
4,1.0,0.09868421052631579,MSE,6.0,all,data
4,1.0,-0.005543848367745241,r2,all,all,data
4,1.0,-0.7773773101031434,r2,shuffled,all,data
4,1.0,-0.008723498233215166,r2,2.0,all,data
4,1.0,-0.0695312499999996,r2,5.0,all,data
4,1.0,0.051362563642493586,r2,1.0,all,data
4,1.0,-0.4556609035136645,r2,0.0,all,data
4,1.0,-0.05791401057914025,r2,3.0,all,data
4,1.0,0.04648648648648657,r2,7.0,all,data
4,1.0,-0.1318687426062517,r2,4.0,all,data
4,1.0,0.02285714285714302,r2,6.0,all,data
5,1.0,0.48882875919321644,correlation,all,all,data
5,1.0,0.16006230455174178,correlation,shuffled,all,data
5,1.0,0.5139516917604358,correlation,2.0,all,data
5,1.0,0.4468540905663443,correlation,5.0,all,data
5,1.0,0.49590763273867317,correlation,1.0,all,data
5,1.0,0.47129652067103095,correlation,0.0,all,data
5,1.0,0.37453376515572656,correlation,3.0,all,data
5,1.0,0.5387037402028378,correlation,7.0,all,data
5,1.0,0.5058756549007226,correlation,4.0,all,data
5,1.0,0.5395126844307755,correlation,6.0,all,data
5,1.0,0.10199556541019955,MSE,all,all,data
5,1.0,0.16805247597930525,MSE,shuffled,all,data
5,1.0,0.09603174603174604,MSE,2.0,all,data
5,1.0,0.11599099099099099,MSE,5.0,all,data
5,1.0,0.09477825464949928,MSE,1.0,all,data
5,1.0,0.10057471264367816,MSE,0.0,all,data
5,1.0,0.09487179487179487,MSE,3.0,all,data
5,1.0,0.1,MSE,7.0,all,data
5,1.0,0.12407407407407407,MSE,4.0,all,data
5,1.0,0.1425438596491228,MSE,6.0,all,data
5,1.0,-0.06998271839595427,r2,all,all,data
5,1.0,-0.7787361384496332,r2,shuffled,all,data
5,1.0,0.09050179211469533,r2,2.0,all,data
5,1.0,-0.44823232323232287,r2,5.0,all,data
5,1.0,-0.06503102741353506,r2,1.0,all,data
5,1.0,-0.4132823698041088,r2,0.0,all,data
5,1.0,-0.058575162522619406,r2,3.0,all,data
5,1.0,0.0053646512976657235,r2,7.0,all,data
5,1.0,-0.11746031746031749,r2,4.0,all,data
5,1.0,0.24299647229715682,r2,6.0,all,data
6,1.0,0.48786650976974033,correlation,all,all,data
6,1.0,0.17494679582037803,correlation,shuffled,all,data
6,1.0,0.43821703338983503,correlation,2.0,all,data
6,1.0,0.46772294927608815,correlation,5.0,all,data
6,1.0,0.5144783783783771,correlation,1.0,all,data
6,1.0,0.2585407326788702,correlation,0.0,all,data
6,1.0,0.4703431681813035,correlation,3.0,all,data
6,1.0,0.5416349335666676,correlation,7.0,all,data
6,1.0,0.448679194362676,correlation,4.0,all,data
6,1.0,0.5111979488965068,correlation,6.0,all,data
6,1.0,0.09497413155949741,MSE,all,all,data
6,1.0,0.1569660014781966,MSE,shuffled,all,data
6,1.0,0.09047619047619047,MSE,2.0,all,data
6,1.0,0.09009009009009009,MSE,5.0,all,data
6,1.0,0.08941344778254649,MSE,1.0,all,data
6,1.0,0.1206896551724138,MSE,0.0,all,data
6,1.0,0.1,MSE,3.0,all,data
6,1.0,0.12380952380952381,MSE,7.0,all,data
6,1.0,0.11388888888888889,MSE,4.0,all,data
6,1.0,0.08552631578947369,MSE,6.0,all,data
6,1.0,-0.012067778266116713,r2,all,all,data
6,1.0,-0.6338357339090326,r2,shuffled,all,data
6,1.0,0.033711710683931084,r2,2.0,all,data
6,1.0,0.014255667211965473,r2,5.0,all,data
6,1.0,0.005428540408340621,r2,1.0,all,data
6,1.0,-0.4132823698041088,r2,0.0,all,data
6,1.0,-0.10559886605244517,r2,3.0,all,data
6,1.0,0.05352112676056353,r2,7.0,all,data
6,1.0,-0.033243486073675,r2,4.0,all,data
6,1.0,-0.09752795467081166,r2,6.0,all,data
7,1.0,0.4994930901246624,correlation,all,all,data
7,1.0,0.11317790615316928,correlation,shuffled,all,data
7,1.0,0.401077562909187,correlation,2.0,all,data
7,1.0,0.41310357224734673,correlation,5.0,all,data
7,1.0,0.47532277459801847,correlation,1.0,all,data
7,1.0,0.3777690623232597,correlation,0.0,all,data
7,1.0,0.6578521733799549,correlation,3.0,all,data
7,1.0,0.5738867316822411,correlation,7.0,all,data
7,1.0,0.6158450250130383,correlation,4.0,all,data
7,1.0,0.540924939602771,correlation,6.0,all,data
